Date,Open,High,Low,Close,Volume,MarCap,매도_금융투자,매수_금융투자,순매수_금융투자,매도_보험,매수_보험,순매수_보험,매도_투신,매수_투신,순매수_투신,매도_사모,매수_사모,순매수_사모,매도_은행,매수_은행,순매수_은행,매도_기타금융,매수_기타금융,순매수_기타금융,매도_연기금 등,매수_연기금 등,순매수_연기금 등,매도_기관합계,매수_기관합계,순매수_기관합계,매도_기타법인,매수_기타법인,순매수_기타법인,매도_개인,매수_개인,순매수_개인,매도_외국인,매수_외국인,순매수_외국인,매도_기타외국인,매수_기타외국인,순매수_기타외국인,매도_전체,매수_전체,순매수_전체,kalman_ma,target,r
2014-02-14,1930.14,1946.81,1930.14,1940.28,216590520,1147041419311967,4088715,2725532,-1363183,1647036,1467066,-179970,4520325,5952986,1432661,1788692,1234793,-553899,467767,235163,-232604,230760,146769,-83991,3878822,4214618,335796,16622117,15976927,-645190,1220209,1660930,440721,179111591,177830878,-1280713,19241743,20629717,1387974,394860,492068,97208,216590520,216590520,0,1912.739113801501,1.0,0.006888660995185316
2014-02-17,1951.74,1955.04,1942.94,1946.36,215467675,1150542879270447,3990763,3383602,-607161,2368274,2080762,-287512,5001753,5795599,793846,1861999,2291765,429766,614112,369064,-245048,238561,221421,-17140,3525349,6207792,2682443,17600811,20350005,2749194,1980477,1675582,-304895,175837203,170815475,-5021728,19625123,22232837,2607714,424061,393776,-30285,215467675,215467675,0,1915.9485103534878,1.0,0.003128668958041442
2014-02-18,1946.88,1951.06,1935.6,1946.91,200447310,1151092002936175,3561861,2745078,-816783,2305222,1588825,-716397,4104994,5008500,903506,1368612,1082371,-286241,421000,350803,-70197,72721,156767,84046,2906683,4333132,1426449,14741093,15265476,524383,2340634,1417252,-923382,167088167,166246935,-841232,15843231,16884378,1041147,434185,633269,199084,200447310,200447310,0,1918.902171583069,1.0,0.0002825388445491927
2014-02-19,1944.7,1944.7,1932.44,1942.93,213564069,1149193005285320,4444271,2920248,-1524023,2522057,2224407,-297650,4762367,6057559,1295192,1863990,1545745,-318245,457947,344555,-113392,99061,76843,-22218,3367438,4354790,987352,17517131,17524147,7016,1618908,1522939,-95969,173778051,174512332,734281,20227954,19584719,-643235,422025,419932,-2093,213564069,213564069,0,1921.1931862054855,1.0,-0.0020463573765913865
2014-02-20,1932.9,1941.13,1927.53,1930.57,232323298,1141966182241167,4063245,3623868,-439377,2372017,2201030,-170987,3799264,4949693,1150429,1122983,1599981,476998,634729,362124,-272605,180783,75167,-105616,3975053,5361215,1386162,16148074,18173078,2025004,2205195,2149094,-56101,188198658,190528566,2329908,24842952,21022530,-3820422,928419,450030,-478389,232323298,232323298,0,1922.0868702229388,1.0,-0.006381846882550833
2014-02-21,1948.03,1957.83,1946.68,1957.83,216316061,1159141463943441,3402475,3043789,-358686,1914315,1862433,-51882,4749244,5851986,1102742,1576794,1316286,-260508,653060,418003,-235057,97081,109211,12130,3564796,5057171,1492375,15957765,17658879,1701114,1677422,1858790,181368,176645300,174141948,-2503352,21535927,22216556,680629,499647,439888,-59759,216316061,216316061,0,1925.492285590473,1.0,0.014021420948853468
2014-02-24,1958.06,1961.41,1943.86,1949.05,193814001,1153967951766104,2532588,3053393,520805,1349302,1804722,455420,5031061,3383441,-1647620,1512613,942216,-570397,301914,302521,607,128779,146872,18093,2439582,3230770,791188,13295839,12863935,-431904,1970570,1830458,-140112,161509936,160991777,-518159,16710692,17708422,997730,326964,419409,92445,193814001,193814001,0,1927.7360996938255,1.0,-0.004494642671895748
2014-02-25,1958.3,1964.86,1955.7,1964.86,226038995,1162958605432529,5045207,4836494,-208713,2550224,2954462,404238,5254539,6572952,1318413,1662825,1675375,12550,468436,315459,-152977,267180,184562,-82618,5291426,5089341,-202085,20539837,21628645,1088808,2028444,2007884,-20560,182504356,178508135,-3996221,20520110,23469647,2949537,446248,424684,-21564,226038995,226038995,0,1931.2712343091277,1.0,0.00807892158571848
2014-02-26,1963.45,1973.88,1955.92,1970.77,209147810,1166730715605131,3692763,3694924,2161,3722256,4186054,463798,4351617,4210476,-141141,1458944,1151730,-307214,411119,420567,9448,143018,185686,42668,3787441,6605573,2818132,17567158,20455010,2887852,2703427,2643360,-60067,164282530,163558595,-723935,24214464,21975893,-2238571,380231,514952,134721,209147810,209147810,0,1935.0317974615098,1.0,0.003003333363326892
2014-02-27,1969.85,1980.37,1965.7,1978.43,201055960,1171847900538892,4359898,3136599,-1223299,3178085,3781833,603748,5853087,4421077,-1432010,1601110,1360107,-241003,646395,616656,-29739,744021,230313,-513708,4611761,5858453,1246692,20994357,19405038,-1589319,2570600,2052432,-518168,155521053,158939205,3418152,21598402,20053904,-1544498,371548,605381,233833,201055960,201055960,0,1939.1629682170962,1.0,0.0038792715517648917
2014-02-28,1976.48,1981.15,1972.65,1979.99,252826255,1173450010713640,6398471,4334482,-2063989,3892334,4162574,270240,6127827,6567958,440131,2684871,3051797,366926,584136,430461,-153675,2061829,151662,-1910167,6203083,7377076,1173993,27952551,26076010,-1876541,4161700,3615059,-546641,184780198,184511733,-268465,35394199,38184910,2790711,537607,438543,-99064,252826255,252826255,0,1943.0488856313623,1.0,0.0007881933098368349
